episodes,scores,avg_scores
490,-441,-1038.262872495381
491,-2,-1016.462872495381
492,-566,-1019.5728724953811
493,-262,-1013.2036525603587
494,-523,-1011.9636525603587
495,-749,-1018.1736525603587
496,-375,-981.8564204007452
497,-346,-979.2164204007449
498,-375,-981.7364204007451
499,-129,-980.5364204007451
500,-900,-981.1064204007452
501,-352,-984.026420400745
502,-664,-990.1064204007452
503,-336,-991.7864204007451
504,-268,-990.2764204007451
505,23,-982.536420400745
506,-625.8177467097041,-945.4700437381731
507,-1918.4765856265726,-959.7448095944388
508,-337,-949.7848095944388
509,-368,-953.3389672438218
510,-354,-956.3189672438218
511,-401,-957.0589672438218
512,-283,-956.9389672438218
513,-580,-962.6889672438218
514,-6,-958.5689672438218
515,-240,-960.1989672438218
516,-1580,-970.7989672438218
517,-161,-971.8089672438218
518,-245,-970.3389672438218
519,-345,-970.1489672438219
520,-1004.9184918920525,-979.7681521627424
521,-528,-979.5681521627423
522,-217,-741.6525215864411
523,-124,-732.5825215864411
524,-185,-730.4525215864411
525,-207,-729.9225215864411
526,-289,-731.6925215864411
527,-286,-734.3325215864411
528,-5279.3801332534,-757.0863229189752
529,-1,-744.6563229189752
530,-364,-745.3363229189752
531,-174,-491.9012190655451
532,-33,-486.7612190655451
533,-234,-486.6712190655451
534,-193,-480.2112190655451
535,-170,-477.93531190954405
536,-297,-472.57531190954404
537,-363,-473.845311909544
538,-66,-473.49531190954406
539,-99,-472.24531190954406
540,-356,-454.8072148000563
541,-259,-454.6172148000562
542,-141,-454.22721480005623
543,-994,-462.41721480005623
544,-631,-427.9437744885031
545,-809.7443591397279,-432.6712180799004
546,9,-431.7512180799004
547,-272,-431.59121807990044
548,-524,-436.2612180799004
549,-297,-404.23121807990043
550,57,-403.27121807990045
551,-388,-404.6712180799004
552,-726,-409.41121807990044
553,-3500,-444.40121807990045
554,-431,-445.3012180799004
555,-23,-442.65121807990045
556,-801.2636618139259,-445.76385469803967
557,-308,-449.2538546980397
558,-282,-449.70385469803966
559,-366,-452.71385469803965
560,-166,-444.66385469803964
561,-83,-444.59385469803965
562,-41,-440.39385469803966
563,-36,-440.46385469803965
564,-947.360795077497,-447.6374626488146
565,-171,-448.43746264881463
566,-592,-453.2574626488146
567,-170,-453.4074626488146
568,-3712.135525955847,-490.1019646510012
569,-21494.652344276623,-705.3384880937674
570,-338,-704.1474964374535
571,-1,-704.1374964374535
572,-114,-703.3174964374535
573,-250,-693.0174964374535
574,-2,-684.7374964374535
575,23,-681.9974964374535
576,-138,-678.1074964374535
577,-535,-681.6674964374536
578,-292,-679.7074964374535
579,-41,-674.7974964374536
580,-531,-671.2174964374535
581,-80,-671.1474964374535
582,-171,-669.1574964374536
583,-246,-669.0174964374535
584,-441,-668.8874964374535
585,-1,-664.4374964374535
586,-1986,-679.5774964374535
587,-346,-682.4174964374536
588,-471,-684.8874964374535
589,-617,-688.5774964374535
590,-317,-687.3374964374535
591,-428,-691.5974964374535
592,-831,-694.2474964374535
593,-386,-695.4874964374535
594,-47.70679172956246,-690.7345643547492
595,-391.1749326426827,-687.156313681176
596,-8341.51905839167,-766.8215042650927
597,-536,-768.7215042650927
598,39,-764.5815042650927
599,-46,-763.7515042650926
600,-40,-755.1515042650926
601,-45,-752.0815042650927
602,-516,-750.6015042650927
603,-39,-747.6315042650926
604,-288,-747.8315042650927
605,49,-747.5715042650927
606,-435,-745.6633267979956
607,-207,-728.54856094173
608,-348,-728.65856094173
609,-226,-727.2385609417299
610,-646.5556334115529,-730.1641172758455
611,-31,-726.4641172758455
612,-4906.702440611324,-772.7011416819587
613,-120,-768.1011416819587
614,-213,-770.1711416819587
615,-1056,-778.3311416819587
616,-197,-764.5011416819586
617,-245,-765.3411416819587
618,-536,-768.2511416819586
619,-267,-767.4711416819587
620,-512,-762.5419567630382
621,-3399,-791.2519567630382
622,-236,-791.4419567630382
